Product Name,Current Date,Current Price,Old Date,Old Price,Category
SteelSeries Rival 3 RGB Kablolu Optik Oyuncu Mouse,10/06/2023,600,10/06/2022,289,mouse
SteelSeries Rival 5 RGB Kablolu Optik Oyuncu Mouse,10/06/2023,1199,10/06/2022,629,mouse
Pro Plan Sterilised Somonlu ve Ton Balıklı 10 kg Yetişkin Kedi Maması,10/06/2023,1619,10/06/2022,760,kedi-mamasi
Nutella 750 gr Kakaolu Fındık Kreması,10/06/2023,95,11/06/2022,44,ezme-krem-cikolata
Royal Canin Sterilised 37 15 kg Kısırlaştırılmış Yetişkin Kuru Kedi Maması,10/06/2023,1775,10/06/2022,975,kedi-mamasi
N&D Ancestral Grain Düşük Tahıllı Medium & Maxi Kuzu Etli ve Yaban Mersinli 12 kg Yetişkin Köpek Maması,10/06/2023,1105,10/06/2022,692,kopek-mamasi
Familia Plus 3 Katlı 32'li Tuvalet Kağıdı,10/06/2023,144,10/06/2022,94,tuvalet-kagidi
Solo 12'li Kağıt Havlu,10/06/2023,89,10/06/2022,69,kagit-havlu
Hawk Gaming Chair Fab V4 Siyah Kumaş Oyuncu Koltuğu,10/06/2023,3599,10/06/2022,2699,oyuncu-koltugu
Fairy Platinum Limon Bulaşık Makinesi Kapsülü 90'lı,10/06/2023,254,10/06/2022,139,bulasik-makinesi-tableti
Econature Kuzulu 15 kg Yetişkin Köpek Maması,10/06/2023,396,10/06/2022,259,kopek-mamasi
iPhone 13 128 GB,10/06/2023,32498,10/06/2022,17999,cep-telefonu
Tunçmatik PowerSurge 1050 Joule 5'li 1.5 m Akım Korumalı Priz,10/06/2023,212,10/06/2022,141,akim-korumali-priz
Philips SWV4434S/10 5 m 4K Ultra HD 3D Ağ Destekli Altın Uçlu HDMI Kablo,10/06/2023,149,10/06/2022,189,hdmi-kablo
Solo Akıllı Seçim 32'li Tuvalet Kağıdı,10/06/2023,124,10/06/2022,105,tuvalet-kagidi
Porziyon Nadya Çalışma Koltuğu,10/06/2023,699,10/06/2022,741,calisma-koltugu
Razer BlackWidow V3 Green Switch Kablolu Mekanik Oyuncu Klavyesi,10/06/2023,1947,10/06/2022,1235,klavye
iPhone 13 128 GB Yıldız Işığı,10/06/2023,32999,10/06/2022,17799,cep-telefonu
PS5 Digital Edition Oyun Konsolu,10/06/2023,16983,10/06/2022,12102,ps5
Philips Airfryer XXL HD9870/20 Premium 7.3 lt Yağsız Fritöz,10/06/2023,7668,15/08/2022,7499,fritoz
Roborock S7 Akıllı Robot Süpürge,10/06/2023,14299,10/06/2022,8779,robot-supurge
Xiaomi Redmi Note 12 Pro 256 GB,10/06/2023,10399,02/05/2023,10499,cep-telefonu
JBL Tune 510BT Kulak Üstü Bluetooth Kulaklık,10/06/2023,1099,10/06/2022,542,bluetooth-kulaklik
Xiaomi MAF08 Air Fryer 6 lt Yağsız Fritöz,10/06/2023,3729,01/02/2023,5799,fritoz
iPhone 11 128 GB Aksesuarsız Kutu,10/06/2023,18399,10/06/2022,12699,cep-telefonu
Xiaomi Redmi Note 11 Pro 128 GB 8 GB,10/06/2023,8722,10/06/2022,6999,cep-telefonu
iPhone 11 64 GB Aksesuarsız Kutu,10/06/2023,19299,10/06/2022,11599,cep-telefonu
Xbox Series S 512 GB SSD Oyun Konsolu,10/06/2023,8783,10/06/2022,5939,xbox-series
Samsung Galaxy A34 128 GB,10/06/2023,9299,10/04/2023,10999,cep-telefonu
Sony DualSense Kablosuz PS5 Oyun Kolu,10/06/2023,2229,10/06/2022,1091,oyun-kolu
Xiaomi Mi TV Stick 4K Dolby Chromecast Android TV Medya Oynatıcı,10/06/2023,1019,10/06/2022,1179,tv-box
"Asus TUF Gaming VG247Q1A 23.8"" 1 ms Full HD FreeSync Oyuncu Monitörü",10/06/2023,3599,10/06/2022,2649,monitor
Xbox Series Kablosuz Oyun Kolu,10/06/2023,1682,10/06/2022,1195,oyun-kolu
