Product Name,Current Date,Current Price,Old Date,Old Price,Category
Apple iPhone 11 128GB Akıllı Cep Telefonu,09/06/2023,19999,10/06/2022,14649,cep-telefonlari
Sony Playstation 5 Oyun Konsolu,09/06/2023,16999,10/06/2022,14499,oyun-konsollari
Apple iPhone 12 5G 64GB 4GB Ram 6.1 inç 12MP Akıllı Cep Telefonu Mor,09/06/2023,28347,13/06/2022,18067,cep-telefonlari
Apple iPhone 13 Pro Max 5G 128GB 6GB Ram 6.7 inç 12MP Akıllı Cep Telefonu Yeşil,09/06/2023,49849,10/06/2022,31329,cep-telefonlari
Apple AirPods 2. Nesil MV7N2TU-A Bluetooth Kulaklık,09/06/2023,3099,10/06/2022,1959,bluetooth-kulaklik
Apple Airpods Pro MLWK3TU/A/ Bluetooth Kulaklık,09/06/2023,5898,10/06/2022,4096,bluetooth-kulaklik
JBL TUNE 500 Mavi Kulaklık,09/06/2023,774,14/06/2022,319,kulaklik
Starbucks Parıltılı Yeşil Renkli 473 ml Klasik Seri Termos,09/06/2023,509,10/06/2022,510,termos
Arzum OK004 Okka Minio 480 W 4 Fincan Kapasiteli Türk Kahve Makinesi Bakır,09/06/2023,724,10/06/2022,492,kahve-makineleri
Philips EP5447-90 1500 W 1800 ml 1 Fincan Kapasiteli Çok Amaçlı Kahve Makinesi,09/06/2023,14709,10/06/2022,9999,kahve-makineleri
Xiaomi Mi Smart Scale 2 Akıllı Baskül Tartı,09/06/2023,349,23/06/2022,308,baskul-tartilar
Goldmaster PF-3220 ProFit Vücut Analiz Baskülü,09/06/2023,229,10/06/2022,179,baskul-tartilar
Thermoad Vizon Granit Döküm Tava Seti,09/06/2023,699,09/06/2022,399,tencere-tava-setleri
Stanley Klasik Neverleak 0.47 lt Bardak Termos,09/06/2023,555,20/06/2022,515,termos
Skechers 12615 Graceful-Get Connected Siyah Kadın Ayakkabı,09/06/2023,993,16/06/2022,1048,spor-ayakkabi
Adidas C77124 Superstar Unisex Spor Ayakkabı Beyaz,09/06/2023,489,09/06/2022,369,spor-ayakkabi
Crocs Crocband Siyah Unisex Terlik,09/06/2023,299,18/06/2022,450,kadin-terlikleri-ve-sandaletleri
Crocs 11016-6MB Crocband Kadın Terlik,09/06/2023,727,10/06/2022,495,kadin-terlikleri-ve-sandaletleri
Apple Macbook Air MGN63TU-A M1 8GB Ram 256GB macOS 13 inç Uzay Grisi Laptop - Notebook,09/06/2023,24295,10/06/2022,16800,dizustu-bilgisayar
Apple Macbook Pro MYD82TU-A M1 8GB Ram 256GB SSD macOS 13 inç Uzay Grisi Laptop - Notebook,09/06/2023,34999,10/06/2022,21380,dizustu-bilgisayar
