Product Name,Current Date,Current Price,Old Date,Old Price,Category
Apple iPhone 11 128GB Akıllı Cep Telefonu,22/05/2023,18029,22/05/2022,12699,cep-telefonlari
Sony Playstation 5 Oyun Konsolu,22/05/2023,14729,23/05/2022,13499,oyun-konsollari
Apple iPhone 12 5G 64GB 4GB Ram 6.1 inç 12MP Akıllı Cep Telefonu Mor,22/05/2023,24999,08/06/2022,19798,cep-telefonlari
Apple iPhone 13 Pro Max 5G 128GB 6GB Ram 6.7 inç 12MP Akıllı Cep Telefonu Yeşil,22/05/2023,46999,23/05/2022,27999,cep-telefonlari
Apple AirPods 2. Nesil MV7N2TU-A Bluetooth Kulaklık,22/05/2023,2689,23/05/2022,1851,bluetooth-kulaklik
Apple Airpods Pro MLWK3TU/A/ Bluetooth Kulaklık,22/05/2023,4745,07/06/2022,4499,bluetooth-kulaklik
JBL TUNE 500 Mavi Kulaklık,22/05/2023,791,23/05/2022,301,kulaklik
Starbucks Parıltılı Yeşil Renkli 473 ml Klasik Seri Termos,22/05/2023,509,22/05/2022,510,termos
Arzum OK004 Okka Minio 480 W 4 Fincan Kapasiteli Türk Kahve Makinesi Bakır,22/05/2023,749,23/05/2022,459,kahve-makineleri
Philips EP5447-90 1500 W 1800 ml 1 Fincan Kapasiteli Çok Amaçlı Kahve Makinesi,22/05/2023,13999,23/05/2022,9885,kahve-makineleri
Xiaomi Mi Smart Scale 2 Akıllı Baskül Tartı,22/05/2023,334,24/05/2022,283,baskul-tartilar
Thermoad Vizon Granit Döküm Tava Seti,22/05/2023,625,22/05/2022,399,tencere-tava-setleri
Stanley Klasik Neverleak 0.47 lt Bardak Termos,22/05/2023,525,25/05/2022,456,termos
Skechers 12615 Graceful-Get Connected Siyah Kadın Ayakkabı,22/05/2023,1099,16/06/2022,1048,spor-ayakkabi
Adidas C77124 Superstar Unisex Spor Ayakkabı Beyaz,22/05/2023,489,22/05/2022,349,spor-ayakkabi
Crocs Crocband Siyah Unisex Terlik,22/05/2023,299,25/05/2022,587,kadin-terlikleri-ve-sandaletleri
Crocs 11016-6MB Crocband Kadın Terlik,22/05/2023,629,23/05/2022,449,kadin-terlikleri-ve-sandaletleri
Apple Macbook Air MGN63TU-A M1 8GB Ram 256GB macOS 13 inç Uzay Grisi Laptop - Notebook,22/05/2023,20899,23/05/2022,15084,dizustu-bilgisayar
Apple Macbook Pro MYD82TU-A M1 8GB Ram 256GB SSD macOS 13 inç Uzay Grisi Laptop - Notebook,22/05/2023,29860,07/06/2022,23029,dizustu-bilgisayar
Sensodyne Soft Diş Eti Bakımı Diş Fırçası,22/05/2023,24,07/06/2022,18,dis-fircalari
Colgate Max White 75 ml Diş Macunu,22/05/2023,27,27/05/2022,22,dis-macunlari
Kürk Mantolu Madonna - Sabahattin Ali,22/05/2023,5,23/05/2022,3,cok-satan-kitaplar
Head & Shoulders Mentol Ferahlığı 2'si 1 Arada 400 ml Şampuan,22/05/2023,75,23/05/2022,36,sampuan-ve-sac-kremi
Head & Shoulders Men Ultra Old Spice 360 ml Şampuan,22/05/2023,52,06/06/2022,59,sampuan-ve-sac-kremi
Pantene Miracles Bambu ve Biotin 275 ml Saç Bakım Kremi,22/05/2023,51,23/05/2022,57,sampuan-ve-sac-kremi
Dove 4x90 gr Cream Bar Original Güzellik Katı Sabun,22/05/2023,54,04/06/2022,42,sabunlar
Hacı Şakir Lavanta Dinlendirici Bakım 1500 ml Sıvı El Sabunu,22/05/2023,65,23/05/2022,68,sabunlar
Dove Original 150 ml Kadın Deodorant,22/05/2023,59,06/06/2022,35,sprey-deodorantlar
Axe Black 150 ml Erkek Deodorant,22/05/2023,59,23/05/2022,32,sprey-deodorantlar
Adidas Siyah X Speedflow 1 Fg Erkek Çim Zemin Kramponu,22/05/2023,4259,12/09/2022,4249,spor-ayakkabi
Adidas 656927 Tango Rosario Beyaz Futbol Topu,22/05/2023,389,23/05/2022,278,toplar
Nike Dominate Basketbol Topu,22/05/2023,449,02/06/2022,187,toplar
Mikasa V200W Voleybol Topu,22/05/2023,2195,04/06/2022,1780,toplar
Avessa VL400 Voleybol Topu,22/05/2023,234,15/06/2022,178,toplar
Meteksan A5 40 Yaprak Çizgili Defter,22/05/2023,10,15/06/2022,14,defter
Gıpta A4 Çizgili Chromo Pp Kapak 160 Yaprak Spiralli Defter,22/05/2023,73,23/05/2022,30,spiralli-defter
Keskin Color A4 80 Yaprak Spiralli Kareli Defter,22/05/2023,45,23/05/2022,27,spiralli-defter
Rotring Rapid 0.7 mm Siyah Versatil Kalem,22/05/2023,92,26/05/2022,77,mekanik-kursun-versatil-kalem
Faber Castell Grip 1347 0.7 mm Koyu Yeşil Versatil Kalem,22/05/2023,44,25/05/2022,61,mekanik-kursun-versatil-kalem
Faber Castell Grip 2011 0.7mm Mavi Versatil Kalem,22/05/2023,195,22/05/2022,75,mekanik-kursun-versatil-kalem
Faber-Castell Textliner 3+1 Fosforlu Kalem,22/05/2023,45,22/05/2022,45,fosforlu-kalem
Stabilo 70 116 Yeşil Boss Original Pastel Fosforlu Kalem,22/05/2023,23,22/05/2022,14,fosforlu-kalem
Faber Castell 187170 Sınav Silgisi,22/05/2023,7,23/05/2022,4,silgi
Rotring 0.7 mm 2B Kurşun Kalem Ucu,22/05/2023,14,23/05/2022,8,kursun-kalem-ucu-min
Apple iPad Air 4 64GB Wi-Fi,22/05/2023,14999,23/05/2022,8469,tablet-pc
Apple iPad Pro 3. Nesil 256 GB,22/05/2023,21149,23/05/2022,15199,tablet-pc
Apple iPad Mini 6 256GB,22/05/2023,14799,07/06/2022,14500,tablet-pc
IKEA Tertial Beyaz 17 cm Çalışma Lambası,22/05/2023,519,28/05/2022,379,masa-lambasi
Özdilek Beyaz Su Yeşili 70x140 cm Pamuk Banyo Havlusu,22/05/2023,98,10/06/2022,79,banyo-havlusu
Casio FX-82MS Hesap Makinesi,22/05/2023,189,28/05/2022,149,hesap-makinesi
Apple Watch SE 40 mm Gümüş Alüminyum Kasa Akıllı Saat,22/05/2023,6000,07/06/2022,5599,akilli-saat
Paşabahçe 55029 2' Li Pub Cam Kulplu Kupa Bardak,22/05/2023,47,23/05/2022,23,kupa
Fakir Altha İnox 2200 W 1.8 lt Kettle,22/05/2023,431,23/05/2022,350,su-isiticilari-kettle
